"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_cassava_hh"
"01","Ha Noi","003","Tay Ho","00091","Phu Thuong",0
"01","Ha Noi","003","Tay Ho","00094","Nhat Tan",0
"01","Ha Noi","003","Tay Ho","00097","Tu Lien",0
"01","Ha Noi","003","Tay Ho","00100","Quang An",0
"01","Ha Noi","003","Tay Ho","00103","Xuan La",0
"01","Ha Noi","003","Tay Ho","00106","Yen Phu",0
"01","Ha Noi","004","Long Bien","00115","Thuong Thanh",0
"01","Ha Noi","004","Long Bien","00118","Ngoc Thuy",0
"01","Ha Noi","004","Long Bien","00121","Giang Bien",0
"01","Ha Noi","004","Long Bien","00124","Duc Giang",0
"01","Ha Noi","004","Long Bien","00127","Viet Hung",0
"01","Ha Noi","004","Long Bien","00136","Phuc Loi",1
"01","Ha Noi","004","Long Bien","00139","Bo De",0
"01","Ha Noi","004","Long Bien","00145","Long Bien",0
"01","Ha Noi","004","Long Bien","00148","Thach Ban",0
"01","Ha Noi","004","Long Bien","00151","Phuc Dong",0
"01","Ha Noi","004","Long Bien","00154","Cu Khoi",0
"01","Ha Noi","008","Hoang Mai","00301","Thanh Tri",0
"01","Ha Noi","008","Hoang Mai","00304","Vinh Hung",0
"01","Ha Noi","008","Hoang Mai","00307","Dinh Cong",0
"01","Ha Noi","008","Hoang Mai","00328","Linh Nam",0
"01","Ha Noi","008","Hoang Mai","00334","Tran Phu",0
"01","Ha Noi","008","Hoang Mai","00337","Hoang Liet",0
"01","Ha Noi","008","Hoang Mai","00340","Yen So",0
"01","Ha Noi","016","Soc Son","00376","Soc Son",1
"01","Ha Noi","016","Soc Son","00379","Bac Son",212
"01","Ha Noi","016","Soc Son","00382","Minh Tri",76
"01","Ha Noi","016","Soc Son","00385","Hong Ky",17
"01","Ha Noi","016","Soc Son","00388","Nam Son",17
"01","Ha Noi","016","Soc Son","00391","Trung Gia",6
"01","Ha Noi","016","Soc Son","00394","Tan Hung",1
"01","Ha Noi","016","Soc Son","00397","Minh Phu",27
"01","Ha Noi","016","Soc Son","00400","Phu Linh",2
"01","Ha Noi","016","Soc Son","00403","Bac Phu",4
"01","Ha Noi","016","Soc Son","00406","Tan Minh",192
"01","Ha Noi","016","Soc Son","00409","Quang Tien",0
"01","Ha Noi","016","Soc Son","00412","Hien Ninh",4
"01","Ha Noi","016","Soc Son","00415","Tan Dan",79
"01","Ha Noi","016","Soc Son","00418","Tien Duoc",3
"01","Ha Noi","016","Soc Son","00421","Viet Long",0
"01","Ha Noi","016","Soc Son","00424","Xuan Giang",0
"01","Ha Noi","016","Soc Son","00427","Mai Dinh",2
"01","Ha Noi","016","Soc Son","00430","Duc Hoa",0
"01","Ha Noi","016","Soc Son","00433","Thanh Xuan",0
"01","Ha Noi","016","Soc Son","00436","Dong Xuan",1
"01","Ha Noi","016","Soc Son","00439","Kim Lu",0
"01","Ha Noi","016","Soc Son","00442","Phu Cuong",2
"01","Ha Noi","016","Soc Son","00445","Phu Minh",0
"01","Ha Noi","016","Soc Son","00448","Phu Lo",0
"01","Ha Noi","016","Soc Son","00451","Xuan Thu",0
"01","Ha Noi","017","Dong Anh","00454","Dong Anh",0
"01","Ha Noi","017","Dong Anh","00457","Xuan Non",0
"01","Ha Noi","017","Dong Anh","00460","Thuy Lam",0
"01","Ha Noi","017","Dong Anh","00463","Bac Hong",0
"01","Ha Noi","017","Dong Anh","00466","Nguyen Khe",5
"01","Ha Noi","017","Dong Anh","00469","Nam Hong",0
"01","Ha Noi","017","Dong Anh","00472","Tien Duong",0
"01","Ha Noi","017","Dong Anh","00475","Van Ha",0
"01","Ha Noi","017","Dong Anh","00478","Uy No",2
"01","Ha Noi","017","Dong Anh","00481","Van Noi",0
"01","Ha Noi","017","Dong Anh","00484","Lien Ha",0
"01","Ha Noi","017","Dong Anh","00487","Viet Hung",1
"01","Ha Noi","017","Dong Anh","00490","Kim No",0
"01","Ha Noi","017","Dong Anh","00493","Kim Chung",0
"01","Ha Noi","017","Dong Anh","00496","Duc Tu",0
"01","Ha Noi","017","Dong Anh","00499","Dai Mach",0
"01","Ha Noi","017","Dong Anh","00502","Vinh Ngoc",4
"01","Ha Noi","017","Dong Anh","00505","Co Loa",10
"01","Ha Noi","017","Dong Anh","00508","Hai Boi",0
"01","Ha Noi","017","Dong Anh","00511","Xuan Canh",2
"01","Ha Noi","017","Dong Anh","00514","Vong La",0
"01","Ha Noi","017","Dong Anh","00517","Tam Xa",0
"01","Ha Noi","017","Dong Anh","00520","Mai Lam",1
"01","Ha Noi","017","Dong Anh","00523","Dong Hoi",0
"01","Ha Noi","018","Gia Lam","00526","Yen Vien",0
"01","Ha Noi","018","Gia Lam","00529","Yen Thuong",0
"01","Ha Noi","018","Gia Lam","00532","Yen Vien",0
"01","Ha Noi","018","Gia Lam","00535","Ninh Hiep",0
"01","Ha Noi","018","Gia Lam","00538","Dinh Xuyen",0
"01","Ha Noi","018","Gia Lam","00541","Duong Ha",0
"01","Ha Noi","018","Gia Lam","00544","Phu Dong",0
"01","Ha Noi","018","Gia Lam","00547","Trung Mau",0
"01","Ha Noi","018","Gia Lam","00550","Le Chi",0
"01","Ha Noi","018","Gia Lam","00553","Co Bi",0
"01","Ha Noi","018","Gia Lam","00556","Dang Xa",0
"01","Ha Noi","018","Gia Lam","00559","Phu Thi",0
"01","Ha Noi","018","Gia Lam","00562","Kim Son",0
"01","Ha Noi","018","Gia Lam","00565","Trau Quy",0
