"IDHO","REGION","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","EXPR1","EXPR2","EXPR3","EXPR4","EXPR6","EXPR5","M4B111_C6","M4B111_C7","M4B111_C8","M4B111_C9","M4B111_C10","M4B111_C11","M4B111_C121","M4B111_C122","M4B111_C123","M4B111_C124","M4B111_C125","M4B111_C13","M4B111_C14","M4B112_C1","M4B113_C1","M4B113_C2","M4B113_C3","M4B113_C4","M4B113_C5","M4B113_C6","M4B113_C7","M4B113_C8","M4B113_C9","M4B113_C101","M4B113_C102","M4B113_C103","M4B113_C104","M4B113_C105","M4B113_C106","M4B113_C111","M4B113_C112","M4B113_C113","M4B113_C114","M4B113_C115","M4B113_C116","M4B113_C117","M4B113_C117GHIRO","M4B113_C121","M4B113_C122","M4B113_C123","M4B113_C124","M4B113_C125","M4B113_C131","M4B113_C132","M4B113_C133","M4B113_C134","M4B113_C135","M4B113_C14N","M4B113_C14T","M4B113_C16","KINHDO","VIDO","SEASON","WT45","ttnt","wt45","Province_name"
"00379009003",1,"01","016","00379","009","003",7,1,16,379,9,3,7,1,5,30,2,1,2,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009005",1,"01","016","00379","009","005",7,1,16,379,9,5,7,1,3,25,1,1,2,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009006",1,"01","016","00379","009","006",7,1,16,379,9,6,7,1,4,20,2,1,2,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009007",1,"01","016","00379","009","007",7,1,16,379,9,7,7,1,1,7,2,1,4,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009008",1,"01","016","00379","009","008",7,1,16,379,9,8,7,1,3,5,2,1,2,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009010",1,"01","016","00379","009","010",7,1,16,379,9,10,7,1,3,5,2,1,3,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009012",1,"01","016","00379","009","012",7,1,16,379,9,12,7,1,3,7,2,1,3,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009013",1,"01","016","00379","009","013",7,1,16,379,9,13,7,1,1,7,2,1,4,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009014",1,"01","016","00379","009","014",7,1,16,379,9,14,7,1,1,7,2,1,4,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00379009015",1,"01","016","00379","009","015",7,1,16,379,9,15,7,1,1,7,2,1,4,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00400011006",1,"01","016","00400","011","006",5,1,16,400,11,6,5,1,3,5,3,1,2,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1049,2,1049,"Thanh pho Ha Noi"
